-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1009.0     16   27.6   24.5     83  19.63    110     10  300.0  357.8  303.5
 1000.0    103   27.4   24.1     82  19.33     55     12  300.6  357.6  304.0
  925.0    791   23.8   19.4     76  15.58     95     24  303.6  350.2  306.5
  920.0    839   23.8   18.8     74  15.08     95     24  304.1  349.2  306.9
  852.0   1507   18.4   16.5     89  14.06     95     27  305.2  347.5  307.8
  850.0   1527   18.4   16.5     89  14.09     95     27  305.4  347.8  308.0
  817.0   1867   17.2    8.2     55   8.42     92     27  307.6  333.5  309.2
  755.0   2539   13.4   10.9     85  10.96     86     26  310.5  344.3  312.6
  736.0   2754   13.4    7.4     67   8.85     84     26  312.8  340.5  314.4
  700.0   3176   11.0    8.3     83   9.91     80     25  314.6  345.8  316.5
  500.0   5910   -4.5  -15.5     42   2.30    130     15  327.5  335.6  327.9
  400.0   7640  -14.1  -32.1     20   0.65    115     15  336.6  339.1  336.7
  300.0   9750  -29.9  -35.9     56   0.60    245     11  343.1  345.5  343.2
  250.0  11020  -40.1  -47.1     47   0.22    260     13  346.3  347.2  346.4
  200.0  12510  -51.9  -54.2     76   0.12    280     29  350.4  351.0  350.4
  150.0  14310  -67.3  -72.3     49   0.01    260     39  354.0  354.0  354.0
  100.0  16640  -81.3  -85.7     48   0.00    310     35  370.4  370.4  370.4
   94.0  16984  -83.4  -87.8     47   0.00    310     37  373.0  373.0  373.0
   90.3  17207  -84.7  -89.1     46   0.00    330     31  374.6  374.6  374.6
   87.0  17412  -85.0  -89.6     45   0.00    340     22  377.9  377.9  377.9
   86.4  17450  -85.1  -89.7     44   0.00    346     15  378.6  378.6  378.6
   86.0  17476  -84.4  -89.3     42   0.00    350     10  380.4  380.4  380.4
   85.0  17541  -82.7  -88.4     38   0.00      0      1  385.2  385.2  385.2
   83.3  17654  -79.7  -86.7     31   0.00    153      9  393.5  393.5  393.5
   83.0  17675  -79.6  -86.7     30   0.00    180     11  394.1  394.1  394.1
   82.0  17743  -79.4  -86.9     29   0.00    190     11  395.9  395.9  395.9
   75.3  18228  -77.7  -87.7     19   0.00     98     13  409.2  409.2  409.2
   73.7  18351  -78.3  -88.3     19   0.00     75     14  410.5  410.5  410.5
   73.0  18406  -76.7  -87.7     16   0.00     65     14  414.9  414.9  414.9
   70.9  18575  -71.9  -85.9     11   0.00     68     22  428.7  428.7  428.7
   70.0  18650  -72.1  -87.1      9   0.00     70     25  429.8  429.8  429.8
   67.0  18907  -72.4  -88.3      8   0.00     80     28  434.6  434.7  434.6
   64.0  19177  -72.7  -89.5      6   0.00    110     17  439.8  439.8  439.8
   63.5  19223  -72.7  -89.7      6   0.00                440.6  440.6  440.6
